Subject,Start Date,Start Time,End Date,End Time,Location
"Benedikt Ahrens, HoTTEST",2026-02-05,11:30 AM,2026-02-05,1:00 PM,https://zoom.us/j/994874377
"Bastiaan Cnossen, HoTTEST",2026-02-19,11:30 AM,2026-02-19,1:00 PM,https://zoom.us/j/994874377
"Ayberk Tosun, HoTTEST",2026-03-05,11:30 AM,2026-03-05,1:00 PM,https://zoom.us/j/994874377
"Astra Kolomatskaia, HoTTEST",2026-03-19,11:30 AM,2026-03-19,1:00 PM,https://zoom.us/j/994874377
"Szumi Xie, HoTTEST",2026-04-02,11:30 AM,2026-04-02,1:00 PM,https://zoom.us/j/994874377
"Freek Geerligs, HoTTEST",2026-04-16,11:30 AM,2026-04-16,1:00 PM,https://zoom.us/j/994874377
